LocationID,Borough,Zone,lat,lon
100,Manhattan,Garment District,213755.89006583215,987376.3351651478
101,Queens,Glen Oaks,211373.6296279702,1063051.7167928577
102,Queens,Glendale,194986.24803856458,1018336.3429846602
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,190785.78588233175,971556.4466919102
106,Brooklyn,Gowanus,184768.46987201457,986504.0743768823
107,Manhattan,Gramercy,207678.9292932081,988609.4410129674
108,Brooklyn,Gravesend,152977.20052223894,987410.6809225887
109,Staten Island,Great Kills,137157.2542868161,944361.8966482398
110,Staten Island,Great Kills Park,136173.14889777248,948122.4647210333
111,Brooklyn,Green-Wood Cemetery,177210.96003826105,986840.8818810678
112,Brooklyn,Greenpoint,206839.18099864194,997963.9136383914
113,Manhattan,Greenwich Village North,205930.19707459252,985856.7943487663
114,Manhattan,Greenwich Village South,204373.53580912948,985091.502657301
115,Staten Island,Grymes Hill/Clifton,164777.66651137068,960798.3936249883
116,Manhattan,Hamilton Heights,240914.69648341375,997886.1362378311
117,Queens,Hammels/Arverne,156786.3211084335,1042203.3355069009
118,Staten Island,Heartland Village/Todt Hill,153727.6520413462,948578.7176191432
119,Bronx,Highbridge,244569.3022100702,1004653.1817469645
120,Manhattan,Highbridge Park,247090.60586976906,1003251.2277416004
121,Queens,Hillcrest/Pomonok,204696.86569096462,1038197.0774507079
122,Queens,Hollis,198194.99525826814,1049672.258085535
123,Brooklyn,Homecrest,157242.36826724163,994044.6906704478
124,Queens,Howard Beach,178077.13793387922,1026598.5423585686
125,Manhattan,Hudson Sq,203690.61310719632,981778.7687374512
126,Bronx,Hunts Point,233441.0287715058,1014942.8851477429
127,Manhattan,Inwood,253555.1313252636,1007073.9995828612
128,Manhattan,Inwood Hill Park,257948.36225685393,1005992.6747359735
129,Queens,Jackson Heights,215994.19395425837,1015504.3213658616
130,Queens,Jamaica,196611.30404233045,1042327.1303187715
131,Queens,Jamaica Estates,201504.72518664092,1045836.7837161946
132,Queens,JFK Airport,172181.36409288328,1044269.3367228233
133,Brooklyn,Kensington,172713.8246196726,990769.1339844003
134,Queens,Kew Gardens,197467.01635053358,1030932.4013257669
135,Queens,Kew Gardens Hills,204512.24455938395,1033896.7426607027
136,Bronx,Kingsbridge Heights,254479.22447778378,1009762.6957245327
137,Manhattan,Kips Bay,208108.9811368654,991504.7191923251
138,Queens,LaGuardia Airport,221520.1419997339,1019474.9067671595
139,Queens,Laurelton,185926.18614305177,1054962.4769038602
140,Manhattan,Lenox Hill East,217591.7174659965,996516.1627566578
141,Manhattan,Lenox Hill West,218215.29273532055,995299.0684764843
142,Manhattan,Lincoln Square East,220287.69717664408,989153.7301270835
143,Manhattan,Lincoln Square West,222138.32929614795,987001.5067419122
144,Manhattan,Little Italy/NoLiTa,201945.45464462615,985171.6264043882
145,Queens,Long Island City/Hunters Point,209798.37684451087,996752.6290369651
146,Queens,Long Island City/Queens Plaza,213665.14430863629,1002039.788763511
147,Bronx,Longwood,237947.9889964595,1012325.2604850933
148,Manhattan,Lower East Side,200960.72886732922,986684.3053886967
149,Brooklyn,Madison,159904.76218189936,999121.1618415287
150,Brooklyn,Manhattan Beach,151045.97616683677,1000574.7899064402
151,Manhattan,Manhattan Valley,230512.9710808646,992276.4359182391
152,Manhattan,Manhattanville,237897.25721042813,996391.8816071822
153,Manhattan,Marble Hill,257919.23557134945,1008637.3087303418
154,Brooklyn,Marine Park/Floyd Bennett Field,155903.99253140978,1007927.441606734
155,Brooklyn,Marine Park/Mill Basin,162714.8732958879,1011459.5033203632
156,Staten Island,Mariners Harbor,172780.85877919823,935981.5052237983
157,Queens,Maspeth,202883.01613611772,1010882.2772686178
158,Manhattan,Meatpacking/West Village West,207747.93137351406,981344.0513021094
